OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor,lng,lat
11,111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Cotton Valley,Louisiana,3,14,0,0,0,0,0,0.5,6.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.798531,-93.411128,0,-93.41112799999999,32.79853100000007
12,115,CHS MCPHERSON REFINERY INC,CHS INC,Mcpherson,Kansas,2,114.9,50,24.5,43,0,27,25.3,89.4,30.6,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.341628,-97.67768,1,-97.67768,38.341628
13,116,Cenex Harvest States Coop,CHS INC,Laurel,Montana,4,63.5,32.2,16.5,0,0,12.5,5.3,62,16,19.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,45.658374,-108.7681,1,-108.7681,45.658374000000066
14,119,CHEVRON USA INC,CHEVRON CORP,El Segundo,California,5,290.5,169.1,73.8,55,0,49,66.1,243.5,76.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.911422,-118.410994,1,-118.41099399999995,33.91142199999999
15,120,CHEVRON USA INC,CHEVRON CORP,Richmond,California,5,257.2,123.5,90,103.4,0,71.3,85.9,382.2,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.94978,-122.398665,1,-122.39866500000004,37.94978000000004
16,123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,El Paso,Texas,3,138,55.5,35,0,0,28,16.5,123,0,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,31.767512,-106.395613,0,-106.395613,31.767512000000067
17,124,CHEVRON USA INC,CHEVRON CORP,Salt Lake City,Utah,4,57.6,27.9,15.5,0,0,9.1,7,50.3,10,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.824744,-111.923936,1,-111.92393600000001,40.824743999999995
18,125,CHEVRON USA INC,CHEVRON CORP,Pascagoula,Mississippi,3,375.2,330,88,119,0,101.6,21.5,284.3,104,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.344744,-88.489914,1,-88.48991400000001,30.344743999999974
19,147,DELEK REFINING LTD,DELEK GROUP LTD,Tyler,Texas,3,76,28,20.3,0,0,17.5,4.7,77,7.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.360432,-95.281964,0,-95.281964,32.36043200000001
20,148,PASADENA REFINING SYSTEMS INC,CHEVRON CORP,Pasadena,Texas,3,115.7,38,52,0,0,23,12.5,84,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.721442,-95.206799,1,-95.206799,29.72144200000006
21,150,Silver Eagle Refining,SILVER EAGLE REFINING INC,Woods Cross,Utah,4,15.7,7,0,0,0,0,0,4,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.867508,-111.910603,1,-111.910603,40.86750799999998
22,153,THE SAN ANTONIO REFINERY LLC,STARLIGHT RELATIVITY ACQUISITION CO,San Antonio,Texas,3,21,0,0,0,0,6,0,15,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.347637,-98.459995,1,-98.45999499999999,29.347637000000002
23,159,ERGON REFINING INC,ERGON INC,Vicksburg,Mississippi,3,27.3,18,0,0,0,0,0,23,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.385998,-90.907845,1,-90.907845,32.38599800000007
24,161,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baton Rouge,Louisiana,3,542,254,244.5,27,0,80,41,549.1,123.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.486272,-91.169797,1,-91.16979700000003,30.486272000000053
25,162,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Billings,Montana,4,62.9,32.3,23.7,6.2,0,12.5,5.1,60.9,10,14.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,45.814531,-108.434778,1,-108.434778,45.81453100000002
26,163,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baytown,Texas,3,584,297,228,29.9,0,127.5,41,794,96,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.761431,-94.976798,1,-94.97679799999999,29.761431000000027
27,164,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,Benicia,California,5,149,85.5,75.3,34,0,37.2,21.3,169.3,29.5,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.072007,-122.138319,1,-122.138319,38.07200699999996
28,168,COFFEYVILLE RESOURCES RFG & MKTG,CVR ENERGY,Coffeyville,Kansas,2,136,46,36,0,0,26,10,124,25,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.049525,-95.605823,1,-95.60582300000003,37.04952500000007
29,176,BIG WEST OIL CO,FJ MANAGEMENT INC,North Salt Lake,Utah,4,33,0,12.5,0,0,8.5,8,23.3,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.838556,-111.920665,0,-111.92066499999999,40.838556000000004
30,177,WYNNEWOOD REFINING CO,CVR ENERGY,Wynnewood,Oklahoma,2,78,40.3,22,18.2,0,18.7,5.5,67.5,0,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,34.632945,-97.167756,0,-97.16775599999998,34.632945000000014
31,185,HOLLYFRONTIER NAVAJO REFINING LLC,HOLLYFRONTIER CORP,Artesia,New Mexico,3,124,34.3,30,18,0,24,9.5,118,0,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.844821,-104.390979,1,-104.39097900000002,32.844821000000024
32,187,CALUMET MONTANA REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Great Falls,Montana,4,37,20,3,24,0,1.5,2.3,14.8,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,47.523212,-111.295316,1,-111.29531599999999,47.523212000000036
